index,thickness,intensity
0,3.284183,228.87563
1,2.0730538,156.02286
2,3.6956382,233.63986
3,3.084064,166.531
4,2.2959707,146.88615
5,3.0786326,195.28387
6,3.2566931,212.02258
7,2.204094,136.86227
8,3.2805877,209.88278
9,2.34782,120.70465
10,2.973742,236.13002
11,1.1723868,80.45941
12,1.4656092,85.137535
13,2.8519506,182.9367
14,2.7010455,150.7768
15,1.9413445,125.937836
16,2.9356444,218.65646
17,2.376868,142.88266
18,2.0704288,170.22662
19,2.5778852,200.77748
20,2.0053535,119.15076
21,2.91008,124.57007
22,3.263172,193.1423
23,2.8464017,196.03304
24,1.6889608,98.15115
25,2.887733,207.10707
26,2.8440697,152.22531
27,2.3463922,167.23022
28,2.5665507,150.61668
29,2.5138512,204.20647
30,2.317698,168.49768
31,2.6627984,174.81158
32,2.7659545,171.20306
33,1.8265163,82.533035
34,2.8144817,214.75131
35,3.88432,243.1253
36,2.6177104,158.9548
37,3.9171748,245.58693
38,2.6707742,168.21677
39,2.718212,189.39182
40,1.7483395,102.12709
41,1.5757872,77.07372
42,2.4458427,167.62518
43,2.3460512,146.00897
44,1.9719781,115.596985
45,1.7404251,100.49393
46,3.068841,203.64183
47,3.5672193,244.8637
48,2.3431025,146.31091
49,2.0430632,114.64174
50,2.6283445,180.32634
51,2.7043023,201.83441
52,2.0954068,130.10413
53,2.510418,168.36142
54,2.5997503,166.18462
55,1.6126902,93.84421
56,2.1107225,171.2133
57,2.5487764,183.00525
58,1.3831239,91.37666
59,2.1442208,144.86548
60,2.3684092,173.63892
61,2.9611208,230.4607
62,2.4479284,144.87115
63,1.9269254,102.77752
64,2.2597353,152.11676
65,2.3456278,107.39382
66,2.8565214,133.42365
67,1.941571,112.17721
68,2.0416832,124.75542
69,2.2200809,139.2042
70,2.6201692,163.34671
71,2.2102497,165.40317
72,2.7767112,179.62265
73,1.7593473,112.31149
74,2.7693772,162.55994
75,2.05194,104.74411
76,1.9704653,162.48624
77,2.1850927,130.51149
78,3.2508461,153.05064
79,2.1411185,132.40485
80,3.3513234,218.98341
81,1.455167,86.061516
82,2.2356973,160.83939
83,3.550901,234.47926
84,3.5059972,221.45126
85,2.6663795,191.70743
86,2.025235,120.49312
87,2.5444443,145.3466
88,1.6024612,83.02068
89,4.500991,252.70857
90,1.9106028,115.338
91,2.6089213,138.5568
92,2.4952533,162.40363
93,2.2076323,130.1181
94,3.0065985,181.89944
95,1.8833764,129.61427
96,2.250851,151.63626
97,3.1096177,188.8154
98,2.048839,95.61447
99,3.0475025,209.68163
100,2.1690493,111.55182
101,2.6678028,134.28882
102,1.8232019,99.47063
103,2.6345093,201.61101
104,2.078195,126.966354
105,2.480474,137.98914
106,2.1724272,114.31137
107,3.0086122,222.78156
108,2.9960885,218.56406
109,1.9323285,99.39834
110,2.2063022,114.85457
111,3.1880708,235.69617
112,2.6662393,200.20232
113,2.4445996,165.21196
114,2.151956,141.4798
115,3.5340855,236.49568
116,2.7660518,190.98495
117,2.5285292,144.76321
118,3.4188712,241.0566
119,1.9318733,124.6595
120,2.6608605,197.56996
121,3.0063882,220.67464
122,2.9440334,182.47577
123,2.5111685,127.52774
124,3.3189113,234.65022
125,1.7479924,96.74427
126,1.4067829,82.7115
127,2.2956078,120.625656
128,2.412012,120.96716
129,2.4380238,141.83946
130,2.9564881,221.53888
131,2.0330076,124.64356
132,3.0472593,183.30006
133,3.4693315,236.43404
134,2.4625697,152.02437
135,3.5165884,233.21722
136,2.9354537,221.83983
137,3.442944,229.3661
138,3.403149,235.75928
139,2.388472,161.10455
140,2.2037148,170.8922
141,2.7648644,180.10635
142,1.8099184,143.45764
143,1.5641568,105.9068
144,1.7442272,131.42526
145,2.4915438,145.3305
146,2.9614973,195.45447
147,2.5470738,177.83829
148,3.0409806,206.74792
149,1.9626019,99.44563
150,2.0155516,109.93811
151,2.5800834,190.76347
152,2.5990262,155.12918
153,3.0788662,214.81102
154,2.2983267,121.59268
155,1.395333,93.74904
156,2.2485948,104.62366
157,2.8598378,202.25357
158,1.7902232,97.5173
159,2.0877333,171.18091
160,3.0980442,201.31888
161,1.6704528,116.16235
162,2.2379794,155.86595
163,2.3597515,165.19269
164,2.3078628,105.02164
165,2.2611935,103.11934
166,2.4853911,135.13339
167,1.7215922,138.25555
168,2.482802,150.68738
169,4.4490423,250.47888
170,2.2050328,120.296906
171,2.4235497,140.04893
172,2.0426168,116.753006
173,2.8694594,176.96692
174,2.6728666,164.88513
175,3.5514154,226.83801
176,2.6667907,186.12698
177,2.7467148,183.6686
178,1.7210115,141.32639
179,2.5752397,151.64963
180,1.5590074,82.76726
181,2.906298,202.78716
182,3.834767,238.95969
183,4.047403,246.29942
184,2.4423687,204.81264
185,1.887357,143.27936
186,3.358872,216.51395
187,3.2188792,193.55998
188,2.8144345,196.4977
189,2.417254,126.637375
190,1.681988,98.31499
191,1.7358435,114.05589
192,3.3381767,237.84277
193,1.6454589,86.26724
194,2.2670538,138.13889
195,2.678935,190.80444
196,2.0979679,123.091095
197,2.6112256,154.26314
198,3.0209932,193.79443
199,2.189377,154.22702
200,2.662508,144.33195
201,3.1624982,201.76604
202,2.2442305,139.61478
203,3.2684407,237.90628
204,2.7891643,222.41887
205,2.7131624,147.05165
206,4.1360507,247.88683
207,2.7268982,192.1502
208,2.3654752,126.836716
209,1.6263952,94.17524
210,1.4417962,93.509674
211,3.356695,246.87985
212,2.7331355,186.91705
213,2.7291737,195.2731
214,2.347323,119.068
215,2.6048648,186.01367
216,1.990877,110.84089
217,1.3600032,75.10808
218,2.5915132,186.87238
219,2.405202,149.20627
220,2.302005,174.30792
221,2.5639112,182.66455
222,2.5391881,107.332886
223,1.5192498,90.335526
224,3.157498,216.89772
225,2.1639066,114.7713
226,2.7091045,190.86667
227,2.7605155,166.64081
