index,thickness,intensity
0,2.0006227,87.810295
1,4.1714067,251.49138
2,2.8621135,178.06744
3,2.6338754,181.09064
4,1.974431,119.19443
5,2.682462,176.00233
6,1.7550471,129.19368
7,3.1357687,237.68994
8,2.4636455,161.92337
9,2.6354537,158.46904
10,2.542291,184.28525
11,1.9811391,107.85254
12,3.3497596,238.99371
13,1.455299,89.96106
14,1.4542179,91.831955
15,3.2107103,202.8853
16,1.7175987,103.29376
17,2.5571036,179.49536
18,3.0151339,165.88754
19,3.1520162,239.25722
20,2.12873,107.4501
21,2.8570836,205.40718
22,2.9736855,139.96893
23,3.2256372,217.92888
24,2.4153893,144.54153
25,1.8222536,102.45299
26,2.5295658,192.85687
27,2.8112235,165.82788
28,3.9045727,242.30663
29,2.7970166,219.51035
30,2.5644841,190.01007
31,2.8419766,126.6658
32,2.0081854,128.84946
33,2.794347,145.39232
34,1.8657392,94.263504
35,2.2092125,100.30148
36,2.1847103,173.59659
37,2.04712,157.139
38,2.6927323,205.07994
39,2.6819975,183.23242
40,2.2933612,139.5538
41,3.894237,248.87175
42,1.7964225,92.55847
43,2.5505185,184.9726
44,2.0670607,95.198074
45,2.8217869,196.8035
46,2.2219646,108.85601
47,3.1340318,191.78473
48,2.1264672,119.557846
49,2.046959,95.228546
50,2.3786561,160.62671
51,1.9504656,89.49397
52,2.8804955,187.09601
53,2.7901807,164.8696
54,1.9796146,116.258224
55,2.8134744,180.57153
56,2.2790673,133.14584
57,3.5176897,233.26189
58,1.973428,115.38228
59,2.342286,121.51604
60,2.4912713,188.60504
61,2.9191651,203.60207
62,2.7144337,171.27762
63,2.6429205,154.84619
64,3.7809749,239.56517
65,3.472432,212.10257
66,1.3721285,90.40305
67,3.8424804,238.8328
68,2.7357411,189.16891
69,1.7057965,106.66639
70,2.7899046,148.36093
71,2.4917066,162.0228
72,4.2119966,244.22977
73,1.9457006,135.20386
74,3.5227785,221.24968
75,2.9308715,194.61906
76,1.4786869,81.39603
77,2.2953234,141.08951
78,1.71858,88.39126
79,3.9065928,246.82028
80,2.2343924,132.5129
81,3.3426435,231.4311
82,1.9824569,78.07067
83,2.5785458,181.39766
84,3.2854714,231.03363
85,1.5015048,102.2974
86,3.6766322,230.76952
87,2.5770202,198.00946
88,2.5886278,210.42351
89,2.9506218,210.47879
90,2.5862727,178.40076
91,2.7597241,193.92224
92,3.3258588,204.69734
93,2.1824467,158.12881
94,2.431484,151.37006
95,1.874387,121.09382
96,2.0423064,89.41823
97,0.9763065,71.22875
98,2.4007173,167.72478
99,1.4929239,115.99928
100,2.2583032,134.51007
101,2.2191393,107.49092
102,2.0491168,108.1333
103,3.2557473,186.245
104,3.8084645,232.66211
105,2.5870528,132.25891
106,2.4074998,145.26498
107,2.7644453,200.48706
108,2.331933,128.13617
109,3.6305552,240.80057
110,1.3925822,87.92264
111,2.3652444,146.81294
